/Users/shmuel/VENVs/AI-Final-Project/bin/python /Users/shmuel/PycharmProjects/AI-Final-Project/Checkers.py -a=rl -b=random -d=no -n=1000 -m=train
Game Mode: ['train']
Player name: pa
RL weights file loads from path: objects/pa_Q_LearningAgent.pkl
RL weights file loads from path: objects/pa_Q_LearningAgent.pkl
Episode 382/1000, BLACK: 179, WHITE: 159, Ties: 44
Episode 383/1000, BLACK: 179, WHITE: 160, Ties: 44
Episode 384/1000, BLACK: 180, WHITE: 160, Ties: 44
Episode 385/1000, BLACK: 180, WHITE: 161, Ties: 44
Episode 386/1000, BLACK: 180, WHITE: 162, Ties: 44
Episode 387/1000, BLACK: 180, WHITE: 163, Ties: 44
Episode 388/1000, BLACK: 181, WHITE: 163, Ties: 44
Episode 389/1000, BLACK: 182, WHITE: 163, Ties: 44
Episode 390/1000, BLACK: 182, WHITE: 163, Ties: 45
Episode 391/1000, BLACK: 182, WHITE: 164, Ties: 45
Episode 392/1000, BLACK: 183, WHITE: 164, Ties: 45
Episode 393/1000, BLACK: 183, WHITE: 165, Ties: 45
Episode 394/1000, BLACK: 184, WHITE: 165, Ties: 45
Episode 395/1000, BLACK: 185, WHITE: 165, Ties: 45
Episode 396/1000, BLACK: 185, WHITE: 166, Ties: 45
Episode 397/1000, BLACK: 186, WHITE: 166, Ties: 45
Episode 398/1000, BLACK: 187, WHITE: 166, Ties: 45
has 3 identical moves
has 3 identical moves
Episode 399/1000, BLACK: 187, WHITE: 166, Ties: 46
Episode 400/1000, BLACK: 187, WHITE: 167, Ties: 46
Episode 401/1000, BLACK: 187, WHITE: 168, Ties: 46
Episode 402/1000, BLACK: 188, WHITE: 168, Ties: 46
Episode 403/1000, BLACK: 188, WHITE: 169, Ties: 46
Episode 404/1000, BLACK: 188, WHITE: 169, Ties: 47
Episode 405/1000, BLACK: 188, WHITE: 170, Ties: 47
Episode 406/1000, BLACK: 189, WHITE: 170, Ties: 47
Episode 407/1000, BLACK: 189, WHITE: 171, Ties: 47
Episode 408/1000, BLACK: 190, WHITE: 171, Ties: 47
Episode 409/1000, BLACK: 190, WHITE: 172, Ties: 47
Episode 410/1000, BLACK: 190, WHITE: 173, Ties: 47
Episode 411/1000, BLACK: 191, WHITE: 173, Ties: 47
